run	Gbp	taxon_name	isolation_source
SRR11992978	0.403	Klebsiella pneumoniae	RECTAL
SRR11992979	0.381	Klebsiella pneumoniae	blood
SRR11992980	0.406	Klebsiella pneumoniae	RECTAL
SRR11992981	0.464	Klebsiella pneumoniae	RECTAL
SRR11992982	0.456	Klebsiella oxytoca	RECTAL
SRR11992983	0.547	Klebsiella pneumoniae	RECTAL
SRR11992984	0.363	Klebsiella pneumoniae	RECTAL
SRR11992985	0.403	Klebsiella pneumoniae	bone
SRR11992986	0.352	Klebsiella pneumoniae	RECTAL
SRR11992987	0.369	Klebsiella quasipneumoniae subsp. quasipneumoniae	RECTAL
SRR11992988	0.422	Klebsiella pneumoniae	blood
SRR11992989	0.414	Klebsiella quasipneumoniae subsp. quasipneumoniae	RECTAL
SRR11992990	0.398	Klebsiella pneumoniae	RECTAL
SRR11992991	0.412	Klebsiella pneumoniae	RECTAL
SRR11992992	0.332	Klebsiella pneumoniae	wound
SRR11992993	0.42	Klebsiella michiganensis	RECTAL
SRR11992994	0.301	Klebsiella pneumoniae	URINARY
SRR11992995	0.358	Klebsiella pneumoniae	RECTAL
SRR11992996	0.385	Klebsiella pneumoniae	RECTAL
SRR11992997	0.37	Klebsiella pneumoniae	URINARY
SRR11992998	0.298	Klebsiella pneumoniae	RECTAL
SRR11992999	0.388	Klebsiella pneumoniae	wound
SRR11993000	0.398	Klebsiella pneumoniae	URINARY
SRR11993001	0.426	Klebsiella pneumoniae	RECTAL
SRR11993002	0.335	Klebsiella pneumoniae	URINARY
SRR11993003	0.33	Klebsiella quasipneumoniae	RECTAL
SRR11993004	0.421	Klebsiella pneumoniae	RECTAL
SRR11993006	0.316	Klebsiella aerogenes	RECTAL
SRR11993007	0.437	Klebsiella michiganensis	RECTAL
SRR11993008	0.38	Klebsiella oxytoca	RECTAL
SRR11993009	0.333	Klebsiella pneumoniae	respiratory
SRR11993010	0.459	Klebsiella pneumoniae	URINARY
SRR11993011	0.392	Klebsiella pneumoniae	RECTAL
SRR11993012	0.384	Klebsiella pneumoniae	RECTAL
SRR11993016	0.394	Klebsiella quasipneumoniae	RECTAL
SRR11993017	0.426	Klebsiella quasipneumoniae	RECTAL
SRR11993018	0.327	Klebsiella quasipneumoniae	RECTAL
SRR11993019	0.529	Klebsiella pneumoniae	RECTAL
SRR11993020	0.356	Klebsiella quasipneumoniae subsp. quasipneumoniae	RECTAL
SRR11993021	0.381	Klebsiella pneumoniae	blood
SRR11993022	0.371	Klebsiella quasipneumoniae subsp. quasipneumoniae	RECTAL
SRR11993023	0.511	Klebsiella pneumoniae	RECTAL
SRR11993025	0.326	Klebsiella michiganensis	RECTAL
SRR11993026	0.514	Klebsiella pneumoniae	RECTAL
SRR11993027	0.493	Klebsiella pneumoniae	RECTAL
SRR11993028	0.304	Klebsiella aerogenes	URINARY
SRR11993029	0.337	Klebsiella pneumoniae	RECTAL
SRR11993030	0.541	Klebsiella quasipneumoniae subsp. similipneumoniae	respiratory
SRR11993031	0.467	Klebsiella pneumoniae	blood
SRR11993032	0.387	Klebsiella aerogenes	URINARY
SRR11993033	0.466	Klebsiella pneumoniae	URINARY
SRR11993034	0.352	Klebsiella pneumoniae	RECTAL
SRR11993038	0.603	Klebsiella pneumoniae	RECTAL
SRR11993039	0.332	Klebsiella pneumoniae	RECTAL
SRR11993040	0.311	Klebsiella pneumoniae	RECTAL
SRR11993043	0.347	Klebsiella aerogenes	RECTAL
SRR11993044	0.508	Klebsiella pneumoniae	RECTAL
SRR11993045	0.459	Klebsiella pneumoniae	RECTAL
SRR11993047	0.572	Klebsiella quasipneumoniae	RECTAL
SRR11993049	0.304	Klebsiella pneumoniae	RECTAL
SRR11993051	0.496	Klebsiella pneumoniae	blood
SRR11993053	0.343	Klebsiella quasipneumoniae	RECTAL
SRR11993054	0.467	Klebsiella aerogenes	wound
SRR11993056	0.495	Klebsiella pneumoniae	RECTAL
SRR11993057	0.392	Klebsiella pneumoniae	RECTAL
SRR11993059	0.343	Klebsiella pneumoniae	RECTAL
SRR11993061	0.351	Klebsiella pneumoniae	RECTAL
SRR11993062	0.415	Klebsiella pneumoniae	RECTAL
SRR11993063	0.454	Klebsiella pneumoniae	RECTAL
SRR11993064	0.367	Klebsiella pneumoniae	GASTROINTESTINAL
SRR11993066	0.394	Klebsiella pneumoniae	URINARY
SRR11993067	0.415	Klebsiella pneumoniae	URINARY
SRR13873151	2.268	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873152	2.411	Klebsiella quasipneumoniae subsp. similipneumoniae	wound
SRR13873153	2.607	Klebsiella pneumoniae	wound
SRR13873154	2.339	Klebsiella quasipneumoniae subsp. similipneumoniae	URINARY
SRR13873155	2.399	Klebsiella pneumoniae	blood
SRR13873156	1.293	Klebsiella pneumoniae	URINARY
SRR13873157	2.333	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873158	0.799	Klebsiella pneumoniae	URINARY
SRR13873159	1.476	Klebsiella pneumoniae	URINARY
SRR13873160	1.33	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873161	1.708	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873162	1.811	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873164	0.948	Klebsiella quasipneumoniae	RECTAL
SRR13873165	0.866	Klebsiella pneumoniae	wound
SRR13873166	1.1	Klebsiella pneumoniae	RECTAL
SRR13873167	2.179	Klebsiella pneumoniae	GASTROINTESTINAL
SRR13873168	1.232	Klebsiella pneumoniae	RECTAL
SRR13873169	1.021	Klebsiella aerogenes	RECTAL
SRR13873170	1.133	Klebsiella oxytoca	RECTAL
SRR13873171	0.848	Klebsiella quasipneumoniae	RECTAL
SRR13873172	1.142	Klebsiella pneumoniae	wound
SRR13873173	1.171	Klebsiella quasipneumoniae	RECTAL
SRR13873174	0.979	Klebsiella quasipneumoniae	RECTAL
SRR13873175	1.11	Klebsiella pneumoniae	wound
SRR13873176	1.041	Klebsiella pneumoniae	RECTAL
SRR13873177	1.088	Klebsiella quasipneumoniae	RECTAL
SRR13873178	2.025	Klebsiella pneumoniae	RECTAL
SRR13873179	1.063	Klebsiella pneumoniae	RECTAL
SRR13873180	0.973	Klebsiella aerogenes	URINARY
SRR13873181	1.108	Klebsiella pneumoniae	RECTAL
SRR13873182	0.704	Klebsiella pneumoniae	URINARY
SRR13873183	2.118	Klebsiella oxytoca	respiratory
SRR13873184	0.953	Klebsiella pneumoniae	URINARY
SRR13873185	1.093	Klebsiella pneumoniae	URINARY
SRR13873186	2.285	Klebsiella pneumoniae	wound
SRR13873188	2.26	Klebsiella pneumoniae	GASTROINTESTINAL
