MG-RAST id,order of rows in Figure 5,virome/total_comm,project,sample id,genome project id,Pubmed id,percentage reads crAssphage,crAssphage reads,total reads,Biome,Feature,Material,Environmental Package
4473172.3,656,total_community,Human Microbiome Project (HMP),SRR062027,,19819907,3.03896E-05,4,13162416,terrestrial biome,human-associated habitat,mucus,human-oral
4478513.3,705,total_community,Human Microbiome Project (HMP),SRR062326,,19819907,3.03413E-05,4,13183352,terrestrial biome,human-associated habitat,mucus,human-oral
4473308.3,587,total_community,Human Microbiome Project (HMP),SRR062330,,19819907,3.01243E-05,10,33195760,terrestrial biome,human-associated habitat,mucus,human-oral
4473323.3,540,total_community,Human Microbiome Project (HMP),SRR062347,,19819907,2.90038E-05,18,62060903,terrestrial biome,human-associated habitat,mucus,human-oral
4473374.3,539,total_community,Human Microbiome Project (HMP),SRR062398,,19819907,2.88857E-05,18,62314532,terrestrial biome,human-associated habitat,mucus,human-oral
4473424.3,691,total_community,Human Microbiome Project (HMP),SRR062448,,19819907,2.87804E-05,2,6949175,terrestrial biome,human-associated habitat,mucus,human-oral
4473292.3,695,total_community,Human Microbiome Project (HMP),SRR062314,,19819907,2.87178E-05,2,6964311,terrestrial biome,human-associated habitat,mucus,human-oral
4472380.3,648,total_community,Human Microbiome Project (HMP),SRR059956,,19819907,2.86848E-05,4,13944689,terrestrial biome,human-associated habitat,mucus,human-oral
4474355.3,351,,Host Remodeling of the Gut Microbiome and Metabolic Changes during Pregnancy,3121,,,2.83573E-05,7,24684997,terrestrial biome,human-associated habitat,feces,human-gut
4473708.3,875,total_community,Human Microbiome Project (HMP),SRR064530,,19819907,2.79379E-05,47,168230029,terrestrial biome,human-associated habitat,mucus,human-vaginal
4473102.3,828,total_community,Human Microbiome Project (HMP),SRR061947,,19819907,2.77677E-05,3,10803920,terrestrial biome,human-associated habitat,organic material,human-skin
4478525.3,908,total_community,Human Microbiome Project (HMP),SRR062364,,19819907,2.77199E-05,2,7215030,terrestrial biome,human-associated habitat,mucus,human-vaginal
4472810.3,854,total_community,Human Microbiome Project (HMP),SRR061370,,19819907,2.73718E-05,1,3653390,terrestrial biome,human-associated habitat,organic material,human-skin
