sample_name,lineage,query_md5,query_filename,ksize,scaled,match_name,unweighted_fraction,f_weighted_at_rank,bp_match_at_rank,total_weighted_hashes,n_unique_kmers,p_vals,actual_confidence_with_coverage,alt_confidence_mut_rate_with_coverage,min_coverage,source_file,n_unique_weighted_found,sum_weighted_found,median_abund
ERR9904447,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia hominis,b9bf1daac28608427ddd6776effce85d,/mnt/data1/quantnm/workflow/profiler_sourmash/work/45/f30db56a78772f20fb543b3c5c1289/ERR9904447/ERR9904447.fastq.gz,31,1000,GCF_020687505.1 Coprococcus hominis (ex Arizal et al. 2022),0.00160149143101,0.000410390653914051,713000,1737369,713,1.0 | 1.0 | 1.0,0.989973336608803 | 0.982088743919444 | 0.986637498115288,0.0123411282479053 | 0.0158024711905468 | 0.0422628836108633,min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,1032,904787,1
ERR9904452,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia hominis,f92284339f5f45daebf2ed2aecf4242b,/mnt/data1/quantnm/workflow/profiler_sourmash/work/f1/4157edee6d9f6790598eb4741e42a3/ERR9904452/ERR9904452.fastq.gz,31,1000,GCF_020687505.1 Coprococcus hominis (ex Arizal et al. 2022),0.0062917624569827,0.00911133081004557,2225000,1709410,15575,1.0 | 1.0 | 1.0 | 1.0,0.989913033088984 | 0.989973336608803 | 0.982088743919444 | 0.986637498115288,0.0078412703219464 | 0.0123411282479053 | 0.0158024711905468 | 0.0422628836108633,min_coverage0.5 | min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,17031,426346,7
ERR9904480,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia hominis,267b765baeca4ca3d94cc058d35e898a,/mnt/data1/quantnm/workflow/profiler_sourmash/work/d4/fb69348e9b79ac8d549bda5e10ff20/ERR9904480/ERR9904480.fastq.gz,31,1000,GCF_020687505.1 Coprococcus hominis (ex Arizal et al. 2022),0.0032358652939044,0.000809621766092584,1348000,1664975,1348,0.192143843555148 | 1.0 | 1.0 | 1.0,0.989913033088984 | 0.989973336608803 | 0.982088743919444 | 0.986637498115288,0.0078412703219464 | 0.0123411282479053 | 0.0158024711905468 | 0.0422628836108633,min_coverage0.5 | min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,2389,657558,1
ERR9904458,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Paraeggerthella;s__Paraeggerthella hominis,7a1cfc416ecc54984f34b4d413589e81,/mnt/data1/quantnm/workflow/profiler_sourmash/work/f3/02ed0da00574ee1b5503b0b37a549b/ERR9904458/ERR9904458.fastq.gz,31,1000,GCF_021044775.1 Paraeggerthella hominis,0.0042480658494365,0.000478234846119736,962000,2011564,962,1.0 | 1.0 | 1.0,0.989980071414008 | 0.982287926771924 | 0.982278003481787,0.0102890484044541 | 0.0126237242137551 | 0.0278105539712001,min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,1364,1223189,1
ERR9904449,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus hominis,09fd934eb9096f1e8890d26004a0be86,/mnt/data1/quantnm/workflow/profiler_sourmash/work/c0/0383ee815a42b91483e029008f0a8f/ERR9904449/ERR9904449.fastq.gz,31,1000,GCF_021044795.1 Acidaminococcus hominis,0.0051300537962398,0.000651531186332637,1110000,1703679,1110,0.94543273979042 | 1.0 | 1.0 | 1.0,0.989488375337078 | 0.988341995784795 | 0.988797428360882 | 0.984298786403915,0.0069209720555557 | 0.0097238882786765 | 0.0122249812171432 | 0.0253003380173045,min_coverage0.5 | min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,1767,912319,1
ERR9904449,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdimmobilis;s__Merdimmobilis hominis,09fd934eb9096f1e8890d26004a0be86,/mnt/data1/quantnm/workflow/profiler_sourmash/work/c0/0383ee815a42b91483e029008f0a8f/ERR9904449/ERR9904449.fastq.gz,31,1000,GCF_021109255.1 Merdimmobilis hominis,0.0009150906771671,0.000116219076480957,198000,1703679,198,0.999971939473164 | 1.0 | 1.0,0.986496188164577 | 0.988919990276505 | 0.98688039362496,0.0102643403536132 | 0.0132085533010325 | 0.0295993281600554,min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,845,1086545,1
ERR9904480,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdimmobilis;s__Merdimmobilis hominis,267b765baeca4ca3d94cc058d35e898a,/mnt/data1/quantnm/workflow/profiler_sourmash/work/d4/fb69348e9b79ac8d549bda5e10ff20/ERR9904480/ERR9904480.fastq.gz,31,1000,GCF_021109255.1 Merdimmobilis hominis,0.0004080839020502,0.000102103635189718,170000,1664975,170,0.102505231778956 | 1.0 | 1.0,0.986496188164577 | 0.988919990276505 | 0.98688039362496,0.0102643403536132 | 0.0132085533010325 | 0.0295993281600554,min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,204,999104,1
ERR9904452,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900552515,f92284339f5f45daebf2ed2aecf4242b,/mnt/data1/quantnm/workflow/profiler_sourmash/work/f1/4157edee6d9f6790598eb4741e42a3/ERR9904452/ERR9904452.fastq.gz,31,1000,GCF_021531355.1 Leyella stercorea,0.0005401018558578,0.000111734458087878,191000,1709410,191,1.0 | 1.0,0.989743681785618 | 0.964999810856807,0.0136083808388291 | 0.0273872040166218,min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,264,1081651,1
ERR9904447,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;s__Vagococcus sp003462485,b9bf1daac28608427ddd6776effce85d,/mnt/data1/quantnm/workflow/profiler_sourmash/work/45/f30db56a78772f20fb543b3c5c1289/ERR9904447/ERR9904447.fastq.gz,31,1000,GCF_022655055.1 Vagococcus sp. CY52-2,0.0015947530378922,0.000408663905019601,710000,1737369,710,1.0 | 1.0 | 1.0,0.985928806785961 | 0.978495957312571 | 0.986637498115288,0.0124113106298699 | 0.0160716030433491 | 0.0422628836108633,min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,993,905780,1
ERR9904447,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecalis,b9bf1daac28608427ddd6776effce85d,/mnt/data1/quantnm/workflow/profiler_sourmash/work/45/f30db56a78772f20fb543b3c5c1289/ERR9904447/ERR9904447.fastq.gz,31,1000,GCF_022809355.1 Parabacteroides faecalis,0.0018036432245457,0.000462193120747521,803000,1737369,803,1.0 | 1.0 | 1.0,0.987234958539606 | 0.984013168192531 | 0.985175154375563,0.0088454871438186 | 0.0106559865978411 | 0.0213280373807444,min_coverage0.1 | min_coverage0.05 | min_coverage0.01,/mnt/data2/quantnm/microgen2026/22en/out/Readbased_Analysis/Sourmash-YACHT/final_results/final_results/merged_sourmash_yacht.csv,1132,881688,1
